MicroPython 50a5922-dirty on 2019-05-14; mini4wdKit with SAMD51
>>> 
raw REPL; CTRL-B to exit
>OK198	-9.272	130.784	996.008	140	-1610	140	0.000	2482.857	45.128
199	137.128	-139.080	915.976	1890	-11270	-420	0.000	2481.245	41.905
200	11.224	-20.496	955.016	2100	-5040	-3150	0.000	2482.857	45.128
201	67.344	-96.624	904.752	1050	-3710	-3850	0.000	2482.857	45.128
202	-52.704	-92.232	1146.800	1750	-2800	-3220	0.000	2483.663	41.905
203	-28.792	-252.784	986.248	1470	-6440	-2520	0.000	2483.663	45.128
204	-20.008	-18.056	962.336	-210	-700	-4200	0.000	2432.894	45.128
205	-6.832	44.408	1052.128	490	-3640	-2520	0.000	2342.638	1141.099
206	-69.784	30.744	905.240	2240	-3430	-1890	0.000	2303.150	1118.535
207	70.272	15.128	960.384	1960	-4060	-2590	0.000	2312.015	1447.326
208	145.424	75.640	822.280	5040	-4270	-1540	0.000	2314.432	1334.505
209	88.328	58.072	883.280	3290	-4340	-1680	0.000	2321.685	2295.091
210	89.792	16.104	809.592	420	-5390	-2240	0.000	2311.209	1373.187
211	-23.912	16.104	1008.696	1470	-3290	-1470	0.000	2292.674	2810.843
212	-15.128	111.264	1197.064	490	-3500	-1400	0.000	2299.121	1827.692
213	-26.840	134.688	1122.400	1050	-3780	-1890	0.000	2288.645	1995.311
214	-64.416	215.208	1179.008	2170	-4900	-2030	0.000	2253.993	2220.953
215	49.288	171.288	1105.320	-2310	-8260	-2590	0.000	2253.993	2117.802
216	126.392	53.680	1025.288	-140	-4340	-2240	0.000	2222.564	2765.714
217	-27.328	160.064	943.792	2520	-6510	-1470	0.000	2237.070	2282.198
218	51.240	131.272	974.048	2100	-5320	-1960	0.000	2224.982	1634.286
219	64.416	119.072	874.984	1400	-2170	-1330	0.000	2234.652	3023.590
220	228.384	-85.888	1171.688	280	-3710	-980	0.000	2231.429	2014.652
221	26.840	147.376	1015.528	770	-4970	-3010	0.000	2230.623	3149.304
222	75.640	53.192	1316.136	1120	-2870	-2380	318.522	2208.059	2059.780
223	177.632	120.536	753.472	-2030	-6510	-1120	318.522	2203.223	2230.623
224	31.232	19.032	732.976	2730	-350	-630	318.522	2213.700	1795.458
225	157.136	143.960	650.992	3430	-4130	-280	318.522	2267.692	1766.447
226	27.328	261.080	1180.960	4270	-4340	-1260	318.522	2275.751	1766.447
227	43.432	120.536	817.888	3290	-3780	-3780	318.522	2267.692	1876.044
228	146.888	-5.856	566.080	840	-7700	-6160	318.522	2236.264	2372.454
229	-25.376	108.824	702.720	1820	-6720	-4410	318.522	2205.641	2011.429
230	-68.808	127.856	1167.296	3990	-5950	-3290	318.522	2220.146	3175.092
231	-7.320	27.328	855.952	1050	-2030	-3990	313.660	2197.582	2501.392
232	16.592	-86.864	437.248	-980	-4970	-3430	313.660	2194.359	2659.341
233	-40.992	232.776	587.552	1050	-4340	-2240	313.660	2200.000	3423.297
234	-149.328	132.248	1081.408	2800	-4340	1610	354.862	2183.883	2127.473
235	-155.672	50.264	1303.448	3500	-2450	-1820	354.862	2214.506	2514.286
236	-152.256	214.720	1016.504	1890	-3710	-2660	354.862	2192.747	3291.136
237	166.408	85.400	1027.728	1330	-8330	-4410	354.862	2206.447	2224.176
238	271.328	306.464	1207.800	2520	-7770	-7770	354.862	2206.447	2759.267
239	-140.056	298.656	1099.464	2660	-5250	-3430	354.862	2182.271	2707.692
240	-84.424	-53.192	516.304	14700	-4690	-5040	400.285	2136.337	2601.319
241	-173.240	3.904	1415.688	-5250	700	-9240	400.285	2143.590	2475.605
242	274.744	193.736	545.584	-2940	-3500	1610	400.285	2155.678	2652.894
243	-158.112	188.856	1264.408	-2800	-3220	2030	400.285	2169.377	2775.385
244	-1174.616	281.576	705.160	-3640	-11760	-5180	400.285	2150.842	2710.916
245	54.168	-204.472	579.256	-6510	-3990	48160	400.285	2124.249	2830.183
246	-446.520	30.256	1817.800	-14770	14840	77700	432.973	2106.520	2759.267
247	-178.120	205.936	775.920	5040	-17010	73710	432.973	2127.473	2562.637
248	50.752	172.752	878.400	2100	-5250	68110	475.022	2118.608	2823.736
249	62.952	187.392	704.184	3010	-9240	68250	475.022	2146.813	2823.736
250	5.856	-2.928	1051.640	2240	-10430	68320	494.302	2149.231	3281.465
